name,type,address,location,pname,cityname,adname
喜茶(北京金融街购物中心店),餐饮服务;冷饮店;冷饮店,金城坊街9号楼一层F2-002号商铺,"116.361675,39.917218",北京市,北京市,西城区
喜茶(北京君太百货DP店),餐饮服务;冷饮店;冷饮店,西单北大街130号君太百货2楼f-08,"116.373360,39.909208",北京市,北京市,西城区
喜茶(北京前门大街店),餐饮服务;冷饮店;冷饮店,前门大街A2-2号(前门地铁站I西南口步行80米),"116.398255,39.898173",北京市,北京市,东城区
喜茶(北京凯德MALL西直门店),餐饮服务;冷饮店;冷饮店,西直门外大街1号西环广场凯德Mall西直门1层49号,"116.352384,39.942165",北京市,北京市,西城区
喜茶(北京apm店),餐饮服务;冷饮店;冷饮店,王府井大街138号北京apm B1层B103A号商铺,"116.412326,39.915196",北京市,北京市,东城区
喜茶(北京广安门天虹店),餐饮服务;冷饮店;冷饮店,广安门外大街168号1幢1层101内043号商铺,"116.341772,39.888651",北京市,北京市,西城区
喜茶(枫蓝国际购物中心店),餐饮服务;冷饮店;冷饮店,西直门北大街32号院3号楼一层102-5至6号房间,"116.356800,39.953438",北京市,北京市,海淀区
喜茶(北京崇文门国瑞店),餐饮服务;冷饮店;冷饮店,崇文门外大街18号国瑞购物中心1幢F1-27号商铺,"116.419294,39.898989",北京市,北京市,东城区
喜茶(北京翠微百货GO店),餐饮服务;冷饮店;冷饮店,复兴路翠微百货B-F1-007号商铺,"116.305911,39.907997",北京市,北京市,海淀区
喜茶(北京翠微印象城店),餐饮服务;冷饮店;冷饮店,翠微街12号北京印象城一层45号,"116.303391,39.912595",北京市,北京市,海淀区
喜茶(北京朝阳门外店),餐饮服务;冷饮店;冷饮店,朝外大街路26号一层F1-08室商铺,"116.441218,39.921743",北京市,北京市,朝阳区
喜茶(北京丽泽龙湖天街店),餐饮服务;冷饮店;冷饮店,"丽泽路16号院1号楼龙湖·北京丽泽天街商场(A-1F-16b,A-1F-17)号房屋","116.334609,39.865891",北京市,北京市,丰台区
喜茶(东直门银座mall店),餐饮服务;冷饮店;冷饮店,东直门外大街48号银座商城L1层16&N12号商铺,"116.435749,39.940060",北京市,北京市,东城区
喜茶(北京环球贸易中心),餐饮服务;冷饮店;冷饮店,北三环东路36号楼E栋裙房L1层10单元,"116.410974,39.965903",北京市,北京市,东城区
喜茶(北京凯德MALL大峡谷店),餐饮服务;冷饮店;冷饮店,南三环西路16号1号楼凯德MALL大峡谷商场01层09号铺位,"116.366866,39.854506",北京市,北京市,丰台区
喜茶(北京中骏世界城店),餐饮服务;冷饮店;冷饮店,金汇路8-9号楼E116B&E118单元,"116.452581,39.917853",北京市,北京市,朝阳区
喜茶(北京蒲黄榆物美GO店),餐饮服务;冷饮店;冷饮店,方庄蒲芳路9号8号楼1层1313-F1-B027号商铺,"116.423140,39.865989",北京市,北京市,丰台区
喜茶(北京三里屯太古里店),餐饮服务;冷饮店;冷饮店,"三里屯路19号院6号楼S6-11a单元,MAC对面","116.454670,39.935132",北京市,北京市,朝阳区
喜茶(北京五棵松华熙店),餐饮服务;冷饮店;冷饮店,复兴路69号北京市五棵松华熙LIVE内G25号1-2层东南侧,"116.277973,39.909007",北京市,北京市,海淀区
喜茶(北京中海广场GO店),餐饮服务;冷饮店;冷饮店,光华东里8号院中海广场1号楼F1-10单元铺位北门处,"116.456314,39.910979",北京市,北京市,朝阳区
喜茶(北京金唐购物中心店),餐饮服务;冷饮店;冷饮店,丰台北路18号院5号楼一层102-L1-26号商铺,"116.305176,39.866313",北京市,北京市,丰台区
喜茶(北京财富购物中心店),餐饮服务;冷饮店;冷饮店,东三环中路7号财富购物中心一层1-08-1、1-09-1单元,"116.458857,39.918046",北京市,北京市,朝阳区
喜茶(北京国贸银泰店),餐饮服务;冷饮店;冷饮店,建国门外大街2号院4号楼北京银泰中心in01地下一层B47号商铺,"116.458916,39.907525",北京市,北京市,朝阳区
喜茶(银泰百货大红门店),餐饮服务;冷饮店;冷饮店,马家堡东路101号院10号楼银泰百货F1070铺位,"116.385794,39.844787",北京市,北京市,丰台区
喜茶(北京金源新燕莎店),餐饮服务;冷饮店;冷饮店,远大路1号金源新燕莎mall东区一层1015K商铺,"116.288513,39.958270",北京市,北京市,海淀区
喜茶(新中关购物中心DP店),餐饮服务;冷饮店;冷饮店,中关村大街19号新中关大厦1层L103号北门入口处,"116.315515,39.978462",北京市,北京市,海淀区
喜茶(融科店),餐饮服务;冷饮店;冷饮店,科学院南路2号融科资讯中心B座1层106单元,"116.326833,39.984739",北京市,北京市,海淀区
喜茶(北京新辰里购物中心GO店),餐饮服务;冷饮店;冷饮店,北辰东路8号院新辰里购物中心F1层,"116.406784,39.991471",北京市,北京市,朝阳区
喜茶(金地广场店),餐饮服务;冷饮店;冷饮店,建国路91号金地中心L1楼L111-L112(ZARA旁),"116.474850,39.909033",北京市,北京市,朝阳区
喜茶(北京中关村创业大街GO店),餐饮服务;冷饮店;冷饮店,海淀大街27号8号楼一层Z1005室商铺,"116.307437,39.982587",北京市,北京市,海淀区
喜茶(北京凯德MALL太阳宫店),餐饮服务;冷饮店;冷饮店,太阳宫中路12号凯德MALL•太阳宫-商场01层54号商铺,"116.447036,39.971492",北京市,北京市,朝阳区
喜茶(北京凤凰汇店),餐饮服务;冷饮店;冷饮店,曙光西里甲5号院24号楼华润置地·凤凰汇购物中心第层第(L15B、L116A)号,"116.457642,39.963175",北京市,北京市,朝阳区
喜茶(北京清华东南门店),餐饮服务;冷饮店;冷饮店,双清路88号华源世纪商务楼一层112号店铺,"116.334746,39.996557",北京市,北京市,海淀区
喜茶(北京华贸购物中心店),餐饮服务;冷饮店;冷饮店,建国路81号B1层B111a-1、B111b号商铺,"116.479894,39.909049",北京市,北京市,朝阳区
喜茶(蓝色港湾PINK店),餐饮服务;冷饮店;冷饮店,朝阳公园路6号SOLANA蓝色港湾湖畔美食街L1 K140,"116.476918,39.949015",北京市,北京市,朝阳区
喜茶(远洋未来汇店),餐饮服务;冷饮店;冷饮店,慈云寺北里209号远洋未来汇CF1-25、26,"116.492557,39.915934",北京市,北京市,朝阳区
花田喜茶,餐饮服务;餐饮相关场所;餐饮相关,西大望路珠江帝景B区北街2号楼111号,"116.478664,39.891438",北京市,北京市,朝阳区
喜茶(龙湖星悦荟店),餐饮服务;冷饮店;冷饮店,颐和园路200号等5幢龙湖·星悦荟A馆-L1-25,"116.291094,39.998064",北京市,北京市,海淀区
