name,type,address,location,pname,cityname,adname
瑞幸咖啡(写意创意中心店),餐饮服务;咖啡厅;咖啡厅,四平路1147弄1号楼写意创意中心一层大堂,"121.503882,31.278056",上海市,上海市,杨浦区
瑞幸咖啡(凤城巷店),餐饮服务;咖啡厅;咖啡厅,凤城路5号凤城巷园区内8号楼一层117室,"121.525251,31.274003",上海市,上海市,杨浦区
瑞幸咖啡(同济联合广场店),餐饮服务;咖啡厅;咖啡厅,四平路1388号同济联合广场F1,"121.507177,31.281474",上海市,上海市,杨浦区
瑞幸咖啡(联创设计谷店),餐饮服务;咖啡厅;咖啡厅,控江路1500弄联创设计建筑主楼一层大堂,"121.520868,31.276428",上海市,上海市,杨浦区
瑞幸咖啡(怡富广场店),餐饮服务;咖啡厅;咖啡厅,黄兴路1737号九隆坊生活广场一层140室,"121.519514,31.290710",上海市,上海市,杨浦区
瑞幸咖啡(杨浦复旦科技园店),餐饮服务;咖啡厅;咖啡厅,国泰路11号复旦科技园大厦主楼一层大堂,"121.507794,31.288006",上海市,上海市,杨浦区
瑞幸咖啡(绿色米兰广场店),餐饮服务;咖啡厅;咖啡厅,国权路39号绿色米兰财富国际广场金座一层大堂,"121.518636,31.287535",上海市,上海市,杨浦区
瑞幸咖啡(颐高数码广场店),餐饮服务;咖啡厅;咖啡厅,邯郸路365号颐高数码广场一层,"121.508436,31.297525",上海市,上海市,杨浦区
瑞幸咖啡(上海复旦软件园店),餐饮服务;咖啡厅;咖啡厅,"隆昌路608-4,复旦软件园2号楼一层,一点点奶茶隔壁","121.542808,31.276105",上海市,上海市,杨浦区
瑞幸咖啡(宝龙·旭辉广场店),餐饮服务;咖啡厅;咖啡厅,定海路街道杨浦区环创中心,"121.542312,31.278178",上海市,上海市,杨浦区
瑞幸咖啡(上海国际设计中心店),餐饮服务;餐饮相关场所;餐饮相关,国康路100号上海国际设计中心西楼一层102室,"121.501496,31.287017",上海市,上海市,杨浦区
瑞幸咖啡(复旦大学南苑餐厅店),餐饮服务;咖啡厅;咖啡厅,五角场街道政肃路复旦大学南苑餐厅一层,"121.506161,31.294317",上海市,上海市,杨浦区
瑞幸咖啡(文通国际广场店),餐饮服务;咖啡厅;咖啡厅,贵阳路398号文通国际广场北一层大堂,"121.550171,31.274730",上海市,上海市,杨浦区
Luckin coffee瑞幸咖啡(创智源店),餐饮服务;餐饮相关场所;餐饮相关,政民路20号靠近淞沪路(江湾体育场地铁站7号口旁),"121.512802,31.304061",上海市,上海市,杨浦区
瑞幸咖啡(五角场万达B座写字楼店),餐饮服务;咖啡厅;咖啡厅,淞沪路77号地下一层B1095,"121.513204,31.300625",上海市,上海市,杨浦区
瑞幸咖啡,餐饮服务;咖啡厅;咖啡厅,国定东路与创造路交叉口东北140米,"121.520902,31.297617",上海市,上海市,杨浦区
瑞幸咖啡(合生汇国际中心店),餐饮服务;咖啡厅;咖啡厅,合生汇国际中心写字楼一楼大堂,"121.516754,31.299226",上海市,上海市,杨浦区
瑞幸咖啡(同和国际大厦店),餐饮服务;餐饮相关场所;餐饮相关,国通路133号同和国际大厦4号楼,"121.507945,31.308945",上海市,上海市,杨浦区
瑞幸咖啡(133世界广场店),餐饮服务;餐饮相关场所;餐饮相关,世界路125号绿源天地A座一层,"121.525869,31.321149",上海市,上海市,杨浦区
瑞幸咖啡(国霞路店),餐饮服务;餐饮相关场所;餐饮相关,国霞路保辉国际大厦,"121.505773,31.315474",上海市,上海市,杨浦区
瑞幸咖啡(尚浦中心店),餐饮服务;咖啡厅;咖啡厅,江湾城路99号1层,"121.509811,31.316584",上海市,上海市,杨浦区
瑞幸咖啡(互联网创新园店),餐饮服务;咖啡厅;咖啡厅,逸仙路2816号华滋奔腾大厦,"121.494066,31.336956",上海市,上海市,宝山区
瑞幸咖啡(中设广场店),餐饮服务;咖啡厅;咖啡厅,殷高路1号中设广场1号楼一层大堂,"121.494439,31.321273",上海市,上海市,宝山区
瑞幸咖啡(湾谷科技园店),餐饮服务;餐饮相关场所;餐饮相关,国权北路1688号湾谷科技园B7栋一层大堂,"121.502479,31.341202",上海市,上海市,杨浦区
瑞幸咖啡(星球影棚店),餐饮服务;咖啡厅;咖啡厅,长江路258号C6号星球影棚1层102室,"121.495345,31.348752",上海市,上海市,宝山区
瑞幸咖啡(森兰商都店),餐饮服务;咖啡厅;咖啡厅,启帆路628号森兰商都商场一层1-114室,"121.591244,31.311950",上海市,上海市,浦东新区
瑞幸咖啡(森兰国际店),餐饮服务;咖啡厅;咖啡厅,洲海路999号森兰国际B栋一层101-乙单元,"121.597575,31.317552",上海市,上海市,浦东新区
luckincoffee瑞幸咖啡(万嘉商业广场店),餐饮服务;咖啡厅;咖啡厅,东靖路1881号万嘉商业广场底商,"121.610008,31.293202",上海市,上海市,浦东新区
瑞幸咖啡(外高桥店),餐饮服务;餐饮相关场所;餐饮相关,外高桥保税区台中南路68号远洋财富中心3栋,"121.608002,31.314660",上海市,上海市,浦东新区
瑞幸咖啡(复旦科技园店),餐饮服务;咖啡厅;咖啡厅,加枫路8号外高桥复旦科技园创新中心一层105室,"121.605249,31.315025",上海市,上海市,浦东新区
瑞幸咖啡(星月大厦店),餐饮服务;餐饮相关场所;餐饮相关,淞宝路155弄星月国际商务广场2号楼一层103室,"121.501695,31.379731",上海市,上海市,宝山区
luckin coffee瑞幸咖啡(高帆大厦店),餐饮服务;咖啡厅;咖啡厅,外高桥保税区北马吉路2号高帆大厦一层,"121.587731,31.348071",上海市,上海市,浦东新区
瑞幸咖啡(晓富金融大厦店),餐饮服务;咖啡厅;咖啡厅,新兰路9号晓富金融大厦一层105室,"121.589272,31.351507",上海市,上海市,浦东新区
瑞幸咖啡(恒越荣欣店),餐饮服务;餐饮相关场所;餐饮相关,金钻路828弄恒越荣欣广场5号楼140室,"121.676322,31.280307",上海市,上海市,浦东新区
瑞幸咖啡(江南造船店),餐饮服务;咖啡厅;咖啡厅,江南大道988号江南造船厂江南研究院大楼B1层食堂内,"121.756471,31.352535",上海市,上海市,崇明区
luckincoffee瑞幸咖啡(新城吾悦广场店),餐饮服务;咖啡厅;咖啡厅,建设南路与世纪大道交叉口新城吾悦广场F1,"121.661230,31.788101",江苏省,南通市,启东市
瑞幸咖啡(同丰路店),餐饮服务;餐饮相关场所;餐饮相关,同丰路大上海紫金城南侧约30米,"121.467275,31.273074",上海市,上海市,虹口区
瑞幸咖啡(宝华国际广场店),餐饮服务;餐饮相关场所;餐饮相关,万荣路555号宝华国际商务楼1层,"121.442819,31.279457",上海市,上海市,静安区
瑞幸咖啡(明珠创意园店),餐饮服务;餐饮相关场所;餐饮相关,广纪路615号火车头广场绿车厢一层113号,"121.483439,31.292184",上海市,上海市,虹口区
瑞幸咖啡(锦荣国际大酒店店),餐饮服务;咖啡厅;咖啡厅,共和新路2750号锦荣商务中心一层底商,"121.451403,31.283979",上海市,上海市,静安区
瑞幸咖啡(大宁中心广场店),餐饮服务;咖啡厅;咖啡厅,万荣路700号大宁中心广场C2栋一层114号,"121.442245,31.282319",上海市,上海市,静安区
瑞幸咖啡(多媒体大厦店),餐饮服务;餐饮相关场所;餐饮相关,广中西路757号多媒体大厦服务中心大楼二层,"121.438631,31.278643",上海市,上海市,静安区
瑞幸咖啡(东方环球中心店),餐饮服务;餐饮相关场所;餐饮相关,永和路118弄43号东方环球中心一层102室,"121.446229,31.289254",上海市,上海市,静安区
瑞幸咖啡(钢铁交易大厦店),餐饮服务;咖啡厅;咖啡厅,逸仙路9号上海钢铁交易大厦一层105室,"121.490228,31.293798",上海市,上海市,杨浦区
瑞幸咖啡(上海静安大融城店),餐饮服务;餐饮相关场所;餐饮相关,沪太路1111弄大融城F2,"121.426609,31.280503",上海市,上海市,静安区
瑞幸咖啡(中图蓝桥店),餐饮服务;餐饮相关场所;餐饮相关,广纪路838号中图蓝桥创意园区1幢一层101室,"121.484082,31.294193",上海市,上海市,虹口区
瑞幸咖啡(图书馆大厦店),餐饮服务;咖啡厅;咖啡厅,水电路1376号凉城商办中心一层2室,"121.476097,31.295664",上海市,上海市,虹口区
瑞幸咖啡(宝隆一方大厦店),餐饮服务;餐饮相关场所;餐饮相关,逸仙路158号宝隆一方大厦一层105-2室,"121.488150,31.295738",上海市,上海市,虹口区
瑞幸咖啡(协信星光广场店),餐饮服务;咖啡厅;咖啡厅,江场路1228弄协信星光广场北里一层NL152,"121.458958,31.297900",上海市,上海市,静安区
瑞幸咖啡(市北云立方产业园店),餐饮服务;餐饮相关场所;餐饮相关,万荣路1268号市北云立方产业园A座102室,"121.440552,31.293872",上海市,上海市,静安区
瑞幸咖啡(美邦大楼店),餐饮服务;咖啡厅;咖啡厅,江场西路160号美邦大楼一层101-20室,"121.447105,31.298781",上海市,上海市,静安区
瑞幸咖啡(晋润海棠大厦店),餐饮服务;咖啡厅;咖啡厅,江场西路307号晋润海棠大厦一层,"121.442169,31.297383",上海市,上海市,静安区
瑞幸咖啡(山海大厦店),餐饮服务;餐饮相关场所;餐饮相关,沪太路1717号山海大厦一层大堂,"121.421383,31.286175",上海市,上海市,宝山区
瑞幸咖啡(吉买盛江湾店),餐饮服务;咖啡厅;咖啡厅,逸仙路580号吉买盛商场一层(江湾镇地铁站5号口旁),"121.484653,31.304803",上海市,上海市,虹口区
瑞幸咖啡(共和国际商务广场店),餐饮服务;咖啡厅;咖啡厅,共和新路3699号共和国际商务广场A栋南门一层大堂,"121.450276,31.304304",上海市,上海市,静安区
瑞幸咖啡(乐坊大华店),餐饮服务;咖啡厅;咖啡厅,真北路4288号一层L120号,"121.408467,31.291171",上海市,上海市,宝山区
瑞幸咖啡(昇park店),餐饮服务;餐饮相关场所;餐饮相关,真大路520号昇park创意园3号楼底商,"121.408269,31.296291",上海市,上海市,宝山区
瑞幸咖啡(美丽华百新创意园店),餐饮服务;餐饮相关场所;餐饮相关,殷高路23弄20号美丽华百新创意园A座一层101室,"121.490412,31.321169",上海市,上海市,宝山区
瑞幸咖啡(长江国际生活广场店),餐饮服务;咖啡厅;咖啡厅,殷高西路333长江国际生活广场F1,"121.469716,31.320065",上海市,上海市,宝山区
瑞幸咖啡(宝山沪尚茗居店),餐饮服务;咖啡厅;咖啡厅,江杨南路880号沪尚茗居整体家装体验馆B1栋底商,"121.467381,31.322120",上海市,上海市,宝山区
瑞幸咖啡(万达广场店),餐饮服务;咖啡厅;咖啡厅,一二八纪念路与共和新路辅路交叉口东100米,"121.446235,31.323880",上海市,上海市,宝山区
瑞幸咖啡(骏利财富大厦店),餐饮服务;餐饮相关场所;餐饮相关,共和新路5199号一幢骏利财富大厦一层G区,"121.445343,31.325515",上海市,上海市,宝山区
瑞幸咖啡(中鑫企业广场店),餐饮服务;咖啡厅;咖啡厅,武威路88弄19号中鑫企业广场一层103室,"121.377741,31.278333",上海市,上海市,普陀区
瑞幸咖啡(通河路店),餐饮服务;餐饮相关场所;餐饮相关,通河路红太阳商业广场,"121.445540,31.336957",上海市,上海市,宝山区
瑞幸咖啡(智慧湾店),餐饮服务;咖啡厅;咖啡厅,蕴川路6号智慧湾18号楼一层大堂,"121.432958,31.343858",上海市,上海市,宝山区
瑞幸咖啡(红石科技大楼店),餐饮服务;餐饮相关场所;餐饮相关,蕰川路512号4幢红石科技大楼一层K座,"121.433564,31.352171",上海市,上海市,宝山区
瑞幸咖啡(淞塘路店),餐饮服务;餐饮相关场所;餐饮相关,淞塘路同济创园(长江南路地铁站4号口步行210米),"121.490600,31.333603",上海市,上海市,宝山区
瑞幸咖啡(永谊大厦店),餐饮服务;咖啡厅;咖啡厅,呼兰西路100号永谊大厦8号楼1层,"121.433404,31.338837",上海市,上海市,宝山区
瑞幸咖啡(南翔太茂广场店),餐饮服务;咖啡厅;咖啡厅,丰翔路3168号南翔太茂广场一层,"121.325837,31.299370",上海市,上海市,嘉定区
瑞幸咖啡(松兰路店),餐饮服务;餐饮相关场所;餐饮相关,杨行镇水产路2069号1幢1层1-25,"121.449158,31.369092",上海市,上海市,宝山区
瑞幸咖啡(智慧七立方店),餐饮服务;咖啡厅;咖啡厅,同济支路157号智慧七立方1座一层113-4室,"121.491012,31.378509",上海市,上海市,宝山区
瑞幸咖啡(容基大厦店),餐饮服务;餐饮相关场所;餐饮相关,银翔路1037号容基大厦一层大堂,"121.316046,31.285154",上海市,上海市,嘉定区
瑞幸咖啡(宝山紫荆谷店),餐饮服务;餐饮相关场所;餐饮相关,经地路99弄3座一层103室,"121.399165,31.325311",上海市,上海市,宝山区
瑞幸咖啡(闿和阳光广场店),餐饮服务;餐饮相关场所;餐饮相关,宝杨路3003闿和阳光广场一层,"121.445764,31.377811",上海市,上海市,宝山区
瑞幸咖啡(宝山龙湖天街店),餐饮服务;咖啡厅;咖啡厅,丹霞山路50弄1号宝山龙湖天街A座一层30号,"121.363918,31.357366",上海市,上海市,宝山区
瑞幸咖啡(南翔大润发店),餐饮服务;咖啡厅;咖啡厅,南翔镇沪宜公路1000号一层,"121.305191,31.292070",上海市,上海市,嘉定区
瑞幸咖啡(五彩城店),餐饮服务;咖啡厅;咖啡厅,南翔镇宝翔路801号负一层中岛03-05号,"121.317144,31.311752",上海市,上海市,嘉定区
瑞幸咖啡(环球大厦店),餐饮服务;餐饮相关场所;餐饮相关,沪宜公路1168号环球大厦一层大堂,"121.303459,31.296368",上海市,上海市,嘉定区
瑞幸咖啡(亿博广场店),餐饮服务;餐饮相关场所;餐饮相关,蕴川路1999弄亿博大厦一层11号商铺,"121.429174,31.382551",上海市,上海市,宝山区
瑞幸咖啡(宝杨宝龙广场店),餐饮服务;咖啡厅;咖啡厅,双庆路与宝杨路交叉路口往南约220米宝杨宝龙广场F2,"121.481609,31.395835",上海市,上海市,宝山区
瑞幸咖啡(东鼎国际大厦店),餐饮服务;咖啡厅;咖啡厅,漠河路600号东鼎国际大厦地下广场一层,"121.469355,31.406492",上海市,上海市,宝山区
瑞幸咖啡(绿地中信泰富万达广场店),餐饮服务;餐饮相关场所;餐饮相关,嘉定工业区胜辛路嘉定新城万达广场负一楼绿地超市,"121.254681,31.330733",上海市,上海市,嘉定区
瑞幸咖啡(罗店宝龙广场店),餐饮服务;咖啡厅;咖啡厅,杨南路2211号罗店宝龙广场三层331室,"121.359157,31.388731",上海市,上海市,宝山区
